,lat,category,business_name,transactions,reviews,rating,price_scale,Distance_from_Bike_Station,latitude,station_name,empty_slots,free_bikes,extra.renting,extra.returning,ebikes,total_bikes
43,-122.60207,Sports Bars,Cozy Pub,[],0,0.0,1,323,45.553917,NE Cully at Skidmore,4,2,1,1,2,6
44,-122.61604,British,Horse Brass Pub,[],719,4.0,2,59,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
45,-122.61604,Bakeries,Tabor Bread,['delivery'],201,4.5,2,24,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
46,-122.61604,Scandinavian,Viking Soul Food,"['delivery', 'pickup']",253,4.5,2,182,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
47,-122.61604,Japanese,Musashi's Pdx,"['delivery', 'pickup']",96,4.5,2,198,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
48,-122.61604,Breakfast & Brunch,Slappy Cakes,"['delivery', 'pickup']",881,3.5,2,196,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
49,-122.61604,Burgers,Next Level Burger,"['delivery', 'pickup']",404,4.0,2,549,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
50,-122.61604,Mexican,Por Qué No? Taqueria,['delivery'],1343,4.0,2,506,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
51,-122.61604,Vietnamese,Bamboo House,"['restaurant_reservation', 'delivery', 'pickup']",147,4.5,2,631,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
52,-122.61604,Food Trucks,Brazilian House,"['delivery', 'pickup']",93,4.5,1,177,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
53,-122.61604,Coffee & Tea,Kind Coffee,['delivery'],105,5.0,1,190,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
54,-122.61604,Pizza,Apizza Scholls,['delivery'],1710,4.0,2,545,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
55,-122.61604,Coffee & Tea,Red Square Cafe,"['delivery', 'pickup']",87,4.0,1,11,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
56,-122.61604,Mexican,Poblano Pepper,['pickup'],77,4.5,1,153,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
57,-122.61604,Coffee & Tea,Never Coffee,['delivery'],174,4.0,2,205,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
58,-122.61604,Thai,Sivalai Thai Restaurant,"['delivery', 'pickup']",943,4.5,2,356,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
59,-122.61604,Burgers,Monster Smash Burgers,['delivery'],56,4.5,2,281,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
60,-122.61604,Beer Gardens,Belmont Station,[],299,4.0,2,281,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
61,-122.61604,Coffee & Tea,Common Grounds Coffeehouse,['delivery'],167,4.0,1,495,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
62,-122.61604,Vegetarian,The Whole Bowl,"['delivery', 'pickup']",275,4.5,1,481,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
63,-122.61604,Juice Bars & Smoothies,Kure Juice Bar,"['delivery', 'pickup']",251,4.5,1,497,45.51658489,SE Belmont at 45th,3,0,1,1,0,3
64,-122.6234,Pizza,Gladstone Street Pizza,['delivery'],218,4.0,2,22,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
65,-122.6234,American (Traditional),Gladstone Street Pub - The Stone,[],102,4.0,1,36,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
66,-122.6234,Ramen,Hapa PDX,['delivery'],93,4.0,2,48,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
67,-122.6234,Pizza,Saint Pizza Lounge,[],40,4.5,2,22,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
68,-122.6234,Breakfast & Brunch,Cafe Rowan,['delivery'],204,4.5,2,311,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
69,-122.6234,Coffee & Tea,Keeper Coffee,['delivery'],91,5.0,2,458,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
70,-122.6234,Italian,DeNicola's Restaurant,"['delivery', 'pickup']",387,3.5,2,542,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
71,-122.6234,Food Trucks,Bark City BBQ,['delivery'],106,4.5,2,437,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
72,-122.6234,Southern,Matt & Memere's,"['delivery', 'pickup']",52,4.5,1,438,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
73,-122.6234,Coffee & Tea,Coffee Beer,['delivery'],60,4.5,2,367,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
74,-122.6234,Mexican,Tecos Mexican Restaurant,"['delivery', 'pickup']",136,3.5,1,552,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
75,-122.6234,Donuts,Sesame Donuts,[],20,4.0,1,514,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
76,-122.6234,Coffee & Tea,Starbucks,['delivery'],42,3.0,2,480,45.49333654,SE 37th at Gladstone,0,4,1,1,4,3
77,-122.65354,Breakfast & Brunch,Pine State Biscuits,"['delivery', 'pickup']",1289,4.5,2,231,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
78,-122.65354,Pizza,Virtuous Pie,['delivery'],398,4.5,2,212,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
79,-122.65354,Cocktail Bars,Palomar,['delivery'],212,4.5,2,359,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
80,-122.65354,Sandwiches,Double Dragon,"['delivery', 'pickup']",480,4.0,2,242,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
81,-122.65354,Barbeque,Botto's BBQ,['delivery'],146,5.0,2,268,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
82,-122.65354,African,Akadi PDX,"['delivery', 'pickup']",236,4.5,2,290,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
83,-122.65354,Sandwiches,The Baker's Mark,['delivery'],256,4.5,1,188,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
84,-122.65354,American (New),Genie's Cafe,['delivery'],528,4.0,2,253,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
85,-122.65354,Delis,Edelweiss Sausage Co & Delicatessen,['delivery'],295,4.0,2,249,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
86,-122.65354,"Beer, Wine & Spirits",The Beermongers,[],239,4.5,1,329,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
87,-122.65354,Diners,Original Hotcake House,['delivery'],599,3.5,2,246,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
88,-122.65354,Bars,Apex Bar,[],421,3.5,1,207,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
89,-122.65354,Mexican,Taqueria Los Gorditos,['delivery'],477,3.5,1,230,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
90,-122.65354,Food Trucks,Upside Down,['delivery'],74,4.5,1,373,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
91,-122.65354,Coffee & Tea,Best Friend Juice & Espresso,"['delivery', 'pickup']",77,4.5,1,255,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
92,-122.65354,Mexican,Aprisa Mexican Cuisine,"['delivery', 'pickup']",254,4.0,1,517,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
93,-122.65354,Performing Arts,Funhouse Lounge,[],122,4.0,2,279,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
94,-122.65354,Coffee & Tea,Rose City Coffee - Brooklyn,"['delivery', 'pickup']",109,4.5,2,464,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
95,-122.65354,Beer Bar,Chuckanut Brewery - P.Nut Beerhall,[],13,4.5,2,389,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
96,-122.65354,Cideries,The Place,"['delivery', 'pickup']",26,5.0,1,276,45.50280906,SE Gideon at 12th Ave MAX station,9,1,1,1,1,10
97,-122.68108,Italian,Grassa,"['delivery', 'pickup']",1971,4.0,2,183,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
98,-122.68108,Breakfast & Brunch,Cheryl’s on 12th,"['delivery', 'pickup']",2409,4.5,2,168,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
99,-122.68108,Thai,Thai Peacock,"['delivery', 'pickup']",1054,4.0,2,124,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
100,-122.68108,Cinema,Living Room Theaters,"['delivery', 'pickup']",597,4.0,2,66,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
101,-122.68108,Bars,Bullard Tavern,"['delivery', 'pickup']",228,4.0,2,138,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
102,-122.68108,French,Maurice,[],225,4.0,2,108,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
103,-122.68108,Brewpubs,Deschutes Brewery Portland Public House,"['delivery', 'pickup']",3427,4.0,2,330,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
104,-122.68108,Mediterranean,Lil' Shalom,"['delivery', 'pickup']",522,4.5,2,208,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
105,-122.68108,Seafood,Jake's Famous Crawfish,"['delivery', 'pickup']",1812,4.0,3,206,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
106,-122.68108,Mediterranean,Mediterranean Exploration Company,['delivery'],925,4.5,2,497,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
107,-122.68108,Steakhouses,El Gaucho,['delivery'],714,4.0,4,194,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
108,-122.68108,Sandwiches,Lardo,"['delivery', 'pickup']",1225,4.0,2,196,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
109,-122.68108,Sushi Bars,Bamboo Sushi,['delivery'],713,4.0,2,149,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
110,-122.68108,Thai,Farmhouse Kitchen Thai Cuisine,[],499,4.0,2,239,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
111,-122.68108,American (New),Portland City Grill,"['delivery', 'pickup']",3285,4.0,3,403,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
112,-122.68108,Korean,Toki,['delivery'],233,4.0,2,184,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
113,-122.68108,Tapas Bars,Sunrice,[],30,4.5,2,110,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
114,-122.68108,Southern,Screen Door Pearl District,['delivery'],576,4.5,2,259,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
115,-122.68108,Seafood,Jake's Grill,"['delivery', 'pickup']",842,3.5,2,162,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
116,-122.68108,Seafood,Southpark Seafood,"['delivery', 'pickup']",1509,4.0,3,426,45.52175423,SW 10th at Harvey Milk,5,12,1,1,12,17
117,-122.65337,Sandwiches,Double Dragon,"['delivery', 'pickup']",480,4.0,2,21,45.50512504,SE Elliott at Division,13,5,1,1,5,18
