,empty_slots,free_bikes,latitude,longitude,name,timestamp,ebikes,has_ebikes,extra.renting,extra.returning,total_bikes
201,4,1,45.5625479,-122.6848349,N Concord Ave at Killingsworth St,2023-04-22T01:56:16.421000Z,1,True,1,1,5
202,5,4,45.52871176,-122.674166,NW Naito at Ironside,2023-04-22T01:56:16.424000Z,4,True,1,1,9
203,3,2,45.5264482,-122.583548,NE 78th at Glisan,2023-04-22T01:56:16.431000Z,2,True,1,1,6
204,5,2,45.50509011,-122.57900777,SE Division at 82nd,2023-04-22T01:56:16.431000Z,2,True,1,1,7
205,8,1,45.5935627,-122.7354239,N Midway at Fessenden St,2023-04-22T01:56:16.432000Z,1,True,1,1,9
206,4,1,45.5190613,-122.5584874,SE Stark at 102nd,2023-04-22T01:56:16.440000Z,1,True,1,1,6
207,7,0,45.5337829,-122.5788583,NE 82nd at Jonesmore,2023-04-22T01:56:16.443000Z,0,True,1,1,7
208,3,4,45.5446211,-122.667667,N Morris at Vancouver,2023-04-22T01:56:16.452000Z,4,True,1,1,8
209,8,6,45.53344,-122.55386,NE Halsey St at 106th,2023-04-22T01:56:16.454000Z,6,True,1,1,14
210,5,0,45.569917,-122.6744197,N Rosa Parks Way at Albina,2023-04-22T01:56:16.461000Z,0,True,1,1,5
211,4,4,45.5628283,-122.6093459,NE Killingsworth at NE 52nd,2023-04-22T01:56:16.463000Z,4,True,1,1,8
212,1,2,45.5092949,-122.6846036,Broadway Residence Hall,2023-04-22T01:56:16.464000Z,2,True,1,1,4
213,3,3,45.4976098,-122.5818846,SE 79th at Powell Blvd,2023-04-22T01:56:16.471000Z,3,True,1,1,6
214,5,0,45.519326,-122.5468687,SE 113th at Stark,2023-04-22T01:56:16.472000Z,0,True,1,1,5
215,0,2,45.5870144,-122.6951643,N Burrage Ave & N Houghton St,2023-04-22T01:56:16.483000Z,2,True,1,1,2
216,6,1,45.5616203,-122.6616835,NE Emerson at MLK Blvd,2023-04-22T01:56:16.484000Z,1,True,1,1,7
217,5,1,45.4990782,-122.6837991,Casey Eye Institute,2023-04-22T01:56:16.485000Z,1,True,1,1,6
218,7,0,45.5014076,-122.5788622,SE Woodward at 82nd Ave,2023-04-22T01:56:16.491000Z,0,True,1,1,7
219,0,5,45.5258454,-122.6814197,NW Flanders at 10th,2023-04-22T01:56:16.496000Z,5,True,1,1,5
220,13,1,45.53496857,-122.653631,NE Broadway at 12th,2023-04-22T01:56:16.501000Z,1,True,1,1,16
221,6,3,45.4900193,-122.5688739,SE 92nd at SE Holgate,2023-04-22T01:56:16.517000Z,3,True,1,1,9
222,4,2,45.5205931,-122.637238,SE 28th at Pine,2023-04-22T01:56:16.518000Z,2,True,1,1,6
223,8,1,45.588297,-122.7380898,N Central at N Ida,2023-04-22T01:56:16.453000Z,1,True,1,1,9
224,5,0,45.4988159,-122.6540982,SE Milwaukie at Pershing,2023-04-22T01:56:16.521000Z,0,True,1,1,5
225,4,4,45.4797127,-122.5686256,SE 92nd at Foster,2023-04-22T01:56:16.522000Z,4,True,1,1,8
226,1,2,45.5536928,-122.6304676,NE Skidmore at 33rd Ave,2023-04-22T01:56:16.524000Z,2,True,1,1,6
227,4,1,45.5422831,-122.6037107,NE Alameda at 58th Ave,2023-04-22T01:56:16.531000Z,1,True,1,1,5
228,15,1,45.51158277,-122.682281,Urban Center Plaza at SW 6th,2023-04-22T01:56:16.532000Z,1,True,1,1,16
229,3,0,45.4941194,-122.5786536,SE 82nd Ave at SE Francis (Eastport Plaza),2023-04-22T01:56:16.156000Z,0,True,1,1,3
