,ll,fsq_id,cat_id,category_name,categories,name,address,city,country,rating,popularity,price
193,"45.52826831,-122.6945615",417c4200f964a520cf1d1fe3,13022,Sports Bar,"[{'id': 13022, 'name': 'Sports Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/sportsbar_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",Silver Dollar Pizza Company,"501 NW 21st Ave (at NW Glisan St), Portland, OR 97209",Portland,US,5.5,0.9547829782978298,2.0
194,"45.52826831,-122.6945615",51427e15e4b07932529207e9,13065,Restaurant,"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Fireside,"801 NW 23rd Ave, Portland, OR 97210",Portland,US,7.8,0.9545704570457045,2.0
195,"45.52826831,-122.6945615",5c0cb468ecb3ed00253c9b9f,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",West Place,"1221 NW 21st Ave, Portland, OR 97209",Portland,US,8.5,0.9506075607560756,3.0
196,"45.56282546,-122.6747467",5ce6f8ac1af852002c0035c2,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Tulip Shop Tavern,"825 N Killingsworth St, Portland, OR 97217",Portland,US,8.5,0.9826357635763576,2.0
197,"45.56282546,-122.6747467",49be98edf964a520c0541fe3,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Saraveza,"1004 N Killingsworth St (at N Michigan Ave), Portland, OR 97217",Portland,US,8.8,0.9713346334633464,2.0
198,"45.56282546,-122.6747467",44cb8bb3f964a5200b361fe3,13009,Cocktail Bar,"[{'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",The Florida Room,"435 N Killingsworth St (at N Commercial St), Portland, OR 97217",Portland,US,7.6,0.9705345534553456,1.0
199,"45.56282546,-122.6747467",45a91a57f964a52021411fe3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13029, 'name': 'Brewery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/brewery_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",McMenamins Chapel Pub,"430 N Killingsworth St (at N Commercial Ave), Portland, OR 97217",Portland,US,7.3,0.9456320632063206,1.0
200,"45.56282546,-122.6747467",4a618c35f964a5207fc21fe3,13006,Beer Bar,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13009, 'name': 'Cocktail Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Red Fox,"5128 N Albina Ave (at N Sumner), Portland, OR 97217",Portland,US,7.2,0.9443444344434443,2.0
201,"45.56282546,-122.6747467",58b29d70ef787f7d50fe0118,13006,Beer Bar,"[{'id': 13006, 'name': 'Beer Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13007, 'name': 'Beer Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/beergarden_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",Up North Surf Club,"1229 N Killingsworth St (btw N Montana & Minnesota), Portland, OR 97217",Portland,US,7.9,0.943056805680568,
202,"45.56282546,-122.6747467",5a25fb051987ec58354b4ba1,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Haymaker Bar,"1233 N Killingsworth St, Portland, OR 97217",Portland,US,7.4,0.916966696669667,2.0
