,lat,business_id,category_name,name,address,city,state,country,transactions,reviews,rating,price_scale,price,distance_4rm_bike
29,-122.6111636,DglTORXiPr1ZPy6WrN-w1w,Bakeries,Grand Central Bakery,"['4400 NE Fremont', 'Portland, OR 97213']",Portland,OR,US,['delivery'],126,4.0,2,$$,459
30,-122.6111636,VuIIAjc0GOb0veec5bhy7Q,Coffee & Tea,Prince Coffee,"['4523 NE Fremont St', 'Portland, OR 97213']",Portland,OR,US,['delivery'],63,4.0,2,$$,490
31,-122.6111636,zI8eOp6Bks0Qd95ncMd4nw,Pubs,McPeets Portland Pub,"['4501 NE Fremont St', 'Portland, OR 97213']",Portland,OR,US,['delivery'],64,3.5,1,$,454
32,-122.6111636,TCOsqzcZG4X6XsKn0OT4Ww,Coffee & Tea,Starbucks,"['4633 NE Fremont St', 'Portland, OR 97213']",Portland,OR,US,['delivery'],25,4.0,1,$,322
33,-122.6020709,T1PWwJlkRKQfRfkSwaa2Mg,Tacos,Nico's Cantina,"['4318 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,"['delivery', 'pickup']",21,3.5,2,$$,31
34,-122.6020709,5xsFt28xPFvncAV6BVuVxg,Beer Gardens,Cully Central,"['4579 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,"['delivery', 'pickup']",205,5.0,2,$$,323
35,-122.6020709,62oY0A491inWXqi4LhgXMQ,Mexican,Pinches Burros,"['5745 NE Prescott St', 'Portland, OR 97218']",Portland,OR,US,"['delivery', 'pickup']",67,4.5,1,$,218
36,-122.6020709,2FWBEMb5YUvzPhpgdHO8Dw,Food Trucks,Mgwalexs Hawaiian Grill,"['4549 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,"['delivery', 'pickup']",88,4.5,1,$,225
37,-122.6020709,aOI_naUQfvbzhRa5ktIqvQ,Street Vendors,Khao Niew - Lao Street Food,"['4579 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,[],85,4.5,1,$,326
38,-122.6020709,ev5mxu0pEBTnuRmr9WHqEQ,Coffee & Tea,Bison Coffee House,"['3941 NE Cully Blvd', 'Portland, OR 97213']",Portland,OR,US,['delivery'],155,4.5,1,$,293
39,-122.6020709,QjgPNwyrRGvz_YrAX92eiQ,Mexican,Tacos el Guero,"['4549 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,['delivery'],27,4.0,1,$,249
40,-122.6020709,NqtxSm20NGb3osCmYtmm3A,Sports Bars,Spirits Pub,"['4037 NE Cully Blvd', 'Portland, OR 97213']",Portland,OR,US,[],7,3.5,1,$,220
41,-122.6020709,SXEAJwnxYheRrTpM50e7Hg,Convenience Stores,7-Eleven,"['4507 NE 60th Ave', 'Portland, OR 97218']",Portland,OR,US,[],5,2.5,1,$,202
42,-122.6020709,3tMzCPeeSkgJZoUcK-_F6Q,Thai,Diamond Thai,"['The Green Castle Food Ct', 'NE 20th Ave & NE Everett St', 'Portland, OR 97232']",Portland,OR,US,[],8,3.5,1,$,548
43,-122.6020709,dvGEfARGL1Tnlp0T0QuNuQ,Sports Bars,Cozy Pub,"['4579 NE Cully Blvd', 'Portland, OR 97218']",Portland,OR,US,[],0,0.0,1,$,323
44,-122.6160378,g2LqasygXCwiNU_lcIvz8w,British,Horse Brass Pub,"['4534 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,[],719,4.0,2,$$,59
45,-122.6160378,rm1G9ZlyVD1r6OvUxcXDAQ,Bakeries,Tabor Bread,"['4438 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,['delivery'],201,4.5,2,$$,24
46,-122.6160378,yuM05JuicR2zgHhsrRP2sQ,Scandinavian,Viking Soul Food,"['4255 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",253,4.5,2,$$,182
47,-122.6160378,Sx1cYOlFdZqTCNe5pI-BtQ,Japanese,Musashi's Pdx,"['4246 SE Belmont St', 'Ste 2', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",96,4.5,2,$$,198
48,-122.6160378,FecqDUHaJjnxVSWTJikcuA,Breakfast & Brunch,Slappy Cakes,"['4246 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",881,3.5,2,$$,196
49,-122.6160378,xA4q9OmjABydFK0JMWSgog,Burgers,Next Level Burger,"['4121 SE Hawthorne Blvd', 'Portland, OR 97214']",Portland,OR,US,"['delivery', 'pickup']",404,4.0,2,$$,549
50,-122.6160378,0Ix62hICO6ypSXfhCvgE6Q,Mexican,Por Qué No? Taqueria,"['4635 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],1343,4.0,2,$$,506
51,-122.6160378,x4970Eo2eHRK7_sz9RhwFQ,Vietnamese,Bamboo House,"['4005 SE Hawthorne Blvd', 'Portland, OR 97214']",Portland,OR,US,"['restaurant_reservation', 'delivery', 'pickup']",147,4.5,2,$$,631
52,-122.6160378,jQaU3y0s_8wmlBj-nTE5iw,Food Trucks,Brazilian House,"['4255 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",93,4.5,1,$,177
53,-122.6160378,E1yKt_hdz-bQHpsyKy17Jw,Coffee & Tea,Kind Coffee,"['4255 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,['delivery'],105,5.0,1,$,190
54,-122.6160378,iaOWsQlhHTkHMTThpB1UNQ,Pizza,Apizza Scholls,"['4741 SE Hawthorne Blvd', 'Portland, OR 97215']",Portland,OR,US,['delivery'],1710,4.0,2,$$,545
55,-122.6160378,pyEzWcGGIWhlCr6dilLuRw,Coffee & Tea,Red Square Cafe,"['4505 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,"['delivery', 'pickup']",87,4.0,1,$,11
56,-122.6160378,0bhFRXZfuXpU7r2H6M-sEQ,Mexican,Poblano Pepper,"['4262 SE Belmont St', 'Portland, OR 97215']",Portland,OR,US,['pickup'],77,4.5,1,$,153
