,latitude,longitude,name,empty_slots,free_bikes,extra.renting,extra.returning,ebikes,total_bikes
81,45.55568352,-122.6506644,NE 14th Pl at Prescott,0,3,1,1,3,3
82,45.54828551,-122.6508106,NE Fremont at 15th,1,4,1,1,4,6
83,45.56251948,-122.6770306,N Michigan at Killingsworth,3,0,1,1,0,3
84,45.55522233,-122.6818612,N Prescott at Interstate,14,4,1,1,4,18
85,45.52649493,-122.6416328,NE Glisan at 24th,8,3,1,1,3,12
86,45.53086696,-122.6658887,NE Wheeler at Multnomah,11,3,1,1,3,14
87,45.55458563,-122.6755413,N Mississippi at Skidmore,8,2,1,1,2,12
88,45.55941042,-122.6685226,N Vancouver at Alberta,15,2,1,1,2,18
89,45.52487653,-122.6965141,NW Everett at 22nd,16,2,1,1,2,18
90,45.53508224,-122.6505639,NE 15th at Broadway,11,0,1,1,0,12
91,45.51936283,-122.6359928,SE 29th at Stark,16,1,1,1,1,17
92,45.5033655,-122.6447314,SE Clinton at 21st,3,15,1,1,15,18
93,45.51636144,-122.6460457,SE Belmont at 20th,11,1,1,1,1,12
94,45.5627419,-122.6889932,N Killingsworth at Gay,5,0,1,1,0,5
95,45.50936198,-122.6812121,SW 4th at College,12,0,1,1,0,12
96,45.56274555,-122.6480594,NE 17th at Killingsworth,1,2,1,1,2,3
97,45.56271655,-122.6350486,NE Killingsworth at 30th,1,7,1,1,7,8
98,45.52279251,-122.6566163,SE 9th at Burnside,10,3,1,1,3,14
99,45.51186486,-122.6210475,SE 40th at Hawthorne,8,0,1,1,0,8
100,45.52771962,-122.6603526,Metro Campus,8,0,1,1,0,8
101,45.53400578,-122.6555675,NE 10th at Halsey,7,1,1,1,1,8
102,45.53966541,-122.6118851,NE 50th at Sandy,7,1,1,1,1,8
103,45.5559258,-122.6008129,NE 60th at Cully,4,4,1,1,4,8
104,45.55836114,-122.6203609,NE 42nd at Alberta Court,6,2,1,1,2,8
105,45.52646211,-122.6093034,NE Glisan at 53rd,6,1,1,1,1,8
106,45.52181825,-122.7044079,SW Park at SW Wright (Oregon Holocaust Memorial),7,3,1,1,3,10
107,45.52862062,-122.6905073,NW 19th at Johnson,12,3,1,1,3,15
108,45.56250716,-122.5943702,NE Cully at Killingsworth,4,4,1,1,4,8
109,45.53677138,-122.61884,NE 43rd at Sandy,1,3,1,1,3,4
110,45.53479718,-122.6686594,N Wheeler at Broadway,12,0,1,1,0,12
111,45.49787392,-122.6375156,SE Powell Blvd at 28th,6,0,1,1,0,6
112,45.53689808,-122.6199692,NE 42nd at Hancock,0,8,1,1,8,7
113,45.51556831,-122.6738924,SW Salmon at Waterfront Park,13,5,1,1,5,18
114,45.50350608,-122.6110657,SE 50th at Clinton,2,3,1,1,3,5
115,45.5301398,-122.6546824,NE 11th at Holladay Park,8,4,1,1,4,12
116,45.49334301,-122.6369745,SE Gladstone at 28th Place,5,0,1,1,0,5
117,45.49684155,-122.6276927,SE 35th Place at Powell Blvd,8,1,1,1,1,9
118,45.50225355,-122.6753193,PSU Business Accelerator,3,0,1,1,0,3
119,45.52996934,-122.6632373,NE Holladay at 2nd,9,0,1,1,0,9
120,45.51434624,-122.6558371,SE Salmon St at 10th,1,4,1,1,4,5
121,45.52500056,-122.6811048,NW 10th at Everett,14,2,1,1,2,16
122,45.51782551,-122.6724963,SW Naito at Morrison,11,7,1,1,7,18
123,45.51889487,-122.6774061,SW 5th at Morrison,20,0,1,1,0,20
124,45.52269573,-122.6703492,SW Naito at Ankeny Plaza,16,2,1,1,2,18
125,45.51946243,-122.6795143,SW Morrison at Pioneer Courthouse Sq.,5,13,1,1,13,18
126,45.51803412,-122.6755071,SW 3rd at Morrison,8,4,1,1,4,12
127,45.5211726,-122.6763654,SW 5th at Oak,17,1,1,1,1,18
128,45.54179953,-122.6614845,NE MLK at Knott,16,2,1,1,2,18
129,45.52247868,-122.6732969,SW 3rd at Ankeny,16,2,1,1,2,18
130,45.51898132,-122.6812685,SW Yamhill at Director Park,18,2,1,1,2,20
131,45.53434532,-122.6848841,NW Raleigh at 13th,4,0,1,1,0,5
132,45.5120668,-122.6536974,SE 12th Ave at Hawthorne,0,7,1,1,7,7
133,45.5200329,-122.7061544,SW Rose Garden Way (Washington Park),9,0,1,1,0,9
134,45.5041321,-122.5451016,SE Division at 115th ave,8,0,1,1,0,8
135,45.52384,-122.673508,NW 3rd at Couch,5,2,1,1,2,7
136,45.526473,-122.6026943,NE Glisan at 60th,6,1,1,1,1,7
137,45.5891923,-122.7389314,Roosevelt HS Bike Corral,9,0,1,1,0,9
138,45.5152252,-122.6783454,SW 4th at Madison,4,2,1,1,2,6
139,45.5127694,-122.6834745,Lincoln Hall,3,0,1,1,0,4
140,45.5105937,-122.6854322,Shattuck Hall,0,6,1,1,6,4
141,45.5229692,-122.6790213,W Burnside at SW Park Ave,7,2,1,1,2,9
142,45.491114,-122.648666,SE 17th Ave at Mall St,0,5,1,1,5,4
143,45.5664147,-122.6607857,NE Ainsworth at Grand Ave,8,0,1,1,0,10
144,45.5696768,-122.6820685,N Interstate at Rosa Parks Way,3,1,1,1,1,6
145,45.5717805,-122.6564844,NE Dekum at Oneonta St,7,0,1,1,0,7
146,45.5517567,-122.5398468,NE Shaver west of 122nd Ave (Parkrose HS),3,5,1,1,5,9
147,45.5627673,-122.6598278,NE Killingsworth at 6th Ave,1,1,1,1,1,2
148,45.5590714,-122.646602,NE Alberta at 18th,4,3,1,1,3,9
149,45.5335216,-122.5582468,NE Halsey at 102nd,9,2,1,1,2,11
150,45.576983,-122.6819395,N Interstate Ave at Lombard,5,0,1,1,0,5
151,45.5477847,-122.6812779,N Fremont at Interstate Ave,6,0,1,1,0,6
152,45.4950271,-122.6076627,SE Foster at 54th Ave,2,1,1,1,1,3
153,45.5140185,-122.5642134,SE 96th Ave at Main,5,0,1,1,0,5
154,45.5311,-122.56249,NE 99th at Multnomah St,4,2,1,1,2,8
155,45.5653576,-122.5887471,Cully Park,3,1,1,1,1,5
156,45.5191725,-122.5822778,SE Stark at 79th Ave,4,2,1,1,2,6
157,45.584012,-122.6867319,N Denver at Interstate Ave,6,2,1,1,2,9
158,45.5664345,-122.6205956,NE Ainsworth at 42nd Ave,0,5,1,1,5,5
159,45.5760937,-122.7290524,N Willamette Blvd at Portsmouth,4,1,1,1,1,5
160,45.53577751,-122.620613,NE 41st at Sandy Blvd (Hollywood Theatre),5,7,1,1,7,12
161,45.5103826,-122.6672484,Kerr Bikes/Adaptive BIKETOWN,4,1,1,1,1,7
162,45.5554316,-122.5890544,NE Prescott at 72nd Ave,4,1,1,1,1,5
163,45.5842278,-122.7460359,N Willamette at Buchanan,5,2,1,1,2,7
164,45.5159726,-122.6791195,SW 5th at Main,12,2,1,1,2,14
165,45.5482433,-122.6409548,NE Fremont at 24th,0,4,1,1,4,5
166,45.5130553,-122.6877767,Epler Hall,3,0,1,1,0,3
167,45.5127415,-122.6860864,PSU SRTC,1,2,1,1,2,4
168,45.4994679,-122.6854443,OHSU Marquam Hill,7,2,1,1,2,9
169,45.5604984,-122.6621038,NE Sumner at MLK,0,3,1,1,3,3
170,45.5081532,-122.5978065,SE 64th at Lincoln St,1,0,1,1,0,3
171,45.4902606,-122.5785721,SE Holgate at 82nd Ave,3,1,1,1,1,5
172,45.5237418,-122.6703424,NW Naito at Couch,2,3,1,1,3,6
173,45.5739428,-122.7203393,N Willamette Blvd at Harvard St,3,0,1,1,0,3
174,45.5420646,-122.6308254,NE Knott at 33rd,4,1,1,1,1,5
175,45.5699526,-122.695712,N Rosa Parks at Greeley,4,1,1,1,1,5
176,45.5225034,-122.557861,E Burnside at 102nd,9,0,1,1,0,9
177,45.5464321,-122.5933109,NE 68th at Sandy,10,0,1,1,0,10
178,45.5590435,-122.6340066,NE Alberta at 31st Ave,5,0,1,1,0,5
179,45.5372206,-122.6875394,NW Front at 17th,10,5,1,1,5,15
180,45.5114539,-122.6856399,Millar Library,3,1,1,1,1,4
181,45.5840852,-122.7194481,N Willis Blvd at N Courtenay Ave,5,1,1,1,1,6
182,45.5268753,-122.5377007,NE 122nd Ave at Glisan St,5,1,1,1,1,6
183,45.4863971,-122.5889343,SE Foster at 72nd,3,7,1,1,7,12
184,45.5849334,-122.7309533,N Lombard at N Fortune,9,0,1,1,0,9
185,45.5445104,-122.5799572,NE Siskiyou at 81st Ave,9,0,1,1,0,9
186,45.5901519,-122.7547835,N Lombard at Burlington,7,2,1,1,2,9
187,45.55862047843104,-122.5638759,NE Sandy at 96th,3,5,1,1,5,8
188,45.511907,-122.6294804,SE 34th at Hawthorne,11,0,1,1,0,12
189,45.4970894,-122.686551,Doernbecher Children's Hospital,6,0,1,1,0,6
